institution_id,UNITID,school_id,gss_code,year,Institution_Name,hdg_inst,toc_code,institution_state,hbcu_flag,land_grant_flag,carnegie_code_1994,carnegie_code_2005,carnegie_code_2010,full_school_name,school_name,school_type_code,hdg_code,pt_tot_all_races_v,pt_tot_forgn_v,pt_tot_hisp_v,pt_tot_indian_v,pt_tot_asian_v,pt_tot_black_v,pt_tot_pacific_v,pt_tot_white_v,pt_tot_multi_non_hisp_v,pt_tot_asian_pi_98_v,pt_tot_other_98_v,pt_tot_unknown_v,pt_men_all_races_v,pt_men_forgn_v,pt_men_hisp_v,pt_men_indian_v,pt_men_asian_v,pt_men_black_v,pt_men_pacific_v,pt_men_white_v,pt_men_multi_non_hisp_v,pt_men_asian_pi_98_v,pt_men_other_98_v,pt_men_unknown_v,pt_wmen_all_races_v,pt_wmen_forgn_v,pt_wmen_hisp_v,pt_wmen_indian_v,pt_wmen_asian_v,pt_wmen_black_v,pt_wmen_pacific_v,pt_wmen_white_v,pt_wmen_multi_non_hisp_v,pt_wmen_asian_pi_98_v,pt_wmen_other_98_v,pt_wmen_unknown_v,ft_tot_all_races_v,ft_tot_forgn_v,ft_tot_hisp_v,ft_tot_indian_v,ft_tot_asian_v,ft_tot_black_v,ft_tot_pacific_v,ft_tot_white_v,ft_tot_multi_non_hisp_v,ft_tot_asian_pi_98_v,ft_tot_other_98_v,ft_tot_unknown_v,ft_men_all_races_v,ft_men_forgn_v,ft_men_hisp_v,ft_men_indian_v,ft_men_asian_v,ft_men_black_v,ft_men_pacific_v,ft_men_white_v,ft_men_multi_non_hisp_v,ft_men_asian_pi_98_v,ft_men_other_98_v,ft_men_unknown_v,ft_wmen_all_races_v,ft_wmen_forgn_v,ft_wmen_hisp_v,ft_wmen_indian_v,ft_wmen_asian_v,ft_wmen_black_v,ft_wmen_pacific_v,ft_wmen_white_v,ft_wmen_multi_non_hisp_v,ft_wmen_asian_pi_98_v,ft_wmen_other_98_v,ft_wmen_unknown_v,ft_frst_tot_all_races_v,ft_frst_tot_forgn_v,ft_frst_tot_hisp_v,ft_frst_tot_indian_v,ft_frst_tot_asian_v,ft_frst_tot_black_v,ft_frst_tot_pacific_v,ft_frst_tot_white_v,ft_frst_tot_multi_non_hisp_v,ft_frst_tot_unknown_v,ft_frst_men_all_races_v,ft_frst_men_forgn_v,ft_frst_men_hisp_v,ft_frst_men_indian_v,ft_frst_men_asian_v,ft_frst_men_black_v,ft_frst_men_pacific_v,ft_frst_men_white_v,ft_frst_men_multi_non_hisp_v,ft_frst_men_unknown_v,ft_frst_wmen_all_races_v,ft_frst_wmen_forgn_v,ft_frst_wmen_hisp_v,ft_frst_wmen_indian_v,ft_frst_wmen_asian_v,ft_frst_wmen_black_v,ft_frst_wmen_pacific_v,ft_frst_wmen_white_v,ft_frst_wmen_multi_non_hisp_v,ft_frst_wmen_unknown_v
14,443331,47,101,1983,West Coast University,2,2,CA,0,0,C1,14,26,West Coast University,,G,2,7,0,1,0,,1,,5,,0,,0,7,,,,,,,,,,,,0,,,,,,,,,,,,3,0,0,0,,0,,3,,0,,0,3,,,,,,,,,,,,0,,,,,,,,,,,,3,,,,,,,,,,3,,,,,,,,,,0,,,,,,,,,
14,443331,47,106,1983,West Coast University,2,2,CA,0,0,C1,14,26,West Coast University,,G,2,12,3,0,0,,0,,8,,1,,0,11,,,,,,,,,,,,1,,,,,,,,,,,,28,10,1,0,,0,,12,,5,,0,26,,,,,,,,,,,,2,,,,,,,,,,,,5,,,,,,,,,,4,,,,,,,,,,1,,,,,,,,,
14,443331,47,108,1983,West Coast University,2,2,CA,0,0,C1,14,26,West Coast University,,G,2,17,2,0,0,,0,,13,,1,,1,14,,,,,,,,,,,,3,,,,,,,,,,,,10,3,0,0,,0,,6,,0,,1,8,,,,,,,,,,,,2,,,,,,,,,,,,4,,,,,,,,,,3,,,,,,,,,,1,,,,,,,,,
14,443331,47,109,1983,West Coast University,2,2,CA,0,0,C1,14,26,West Coast University,,G,2,8,0,1,0,,0,,5,,2,,0,7,,,,,,,,,,,,1,,,,,,,,,,,,12,7,0,0,,1,,3,,1,,0,10,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,
14,443331,47,114,1983,West Coast University,2,2,CA,0,0,C1,14,26,West Coast University,,G,2,13,0,0,0,,0,,13,,0,,0,13,,,,,,,,,,,,0,,,,,,,,,,,,9,1,1,0,,1,,6,,0,,0,9,,,,,,,,,,,,0,,,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,
14,443331,47,401,1983,West Coast University,2,2,CA,0,0,C1,14,26,West Coast University,,G,2,69,0,2,0,,0,,64,,3,,0,61,,,,,,,,,,,,8,,,,,,,,,,,,118,14,2,0,,1,,95,,6,,0,96,,,,,,,,,,,,22,,,,,,,,,,,,23,,,,,,,,,,19,,,,,,,,,,4,,,,,,,,,
21,210429,6,617,1983,Western Oregon State College,2,1,OR,0,0,C1,18,19,Western Oregon State College,,G,2,30,0,0,0,,0,,30,,0,,0,16,,,,,,,,,,,,14,,,,,,,,,,,,11,0,0,0,,0,,11,,0,,0,8,,,,,,,,,,,,3,,,,,,,,,,,,8,,,,,,,,,,6,,,,,,,,,,2,,,,,,,,,
21,210429,6,801,1983,Western Oregon State College,2,1,OR,0,0,C1,18,19,Western Oregon State College,,G,3,0,0,0,0,,0,,0,,0,,0,0,,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,0,,0,,0,,0,,0,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,
21,210429,6,910,1983,Western Oregon State College,2,1,OR,0,0,C1,18,19,Western Oregon State College,,G,2,36,0,0,0,,0,,24,,0,,12,21,,,,,,,,,,,,15,,,,,,,,,,,,42,3,0,3,,2,,21,,4,,9,28,,,,,,,,,,,,14,,,,,,,,,,,,34,,,,,,,,,,21,,,,,,,,,,13,,,,,,,,,
24,143978,109,801,1983,Chicago School of Prof Psych,1,2,IL,0,0,OTH,26,26,Chicago School of Prof Psych,,G,1,39,1,0,0,,1,,37,,0,,0,22,,,,,,,,,,,,17,,,,,,,,,,,,71,1,0,0,,0,,70,,0,,0,36,,,,,,,,,,,,35,,,,,,,,,,,,22,,,,,,,,,,12,,,,,,,,,,10,,,,,,,,,
26,184348,2,907,1983,Drew University,2,2,NJ,0,0,LA1,21,21,Drew University,,G,2,16,4,0,0,,1,,11,,0,,0,12,,,,,,,,,,,,4,,,,,,,,,,,,5,0,0,0,,0,,5,,0,,0,3,,,,,,,,,,,,2,,,,,,,,,,,,5,,,,,,,,,,3,,,,,,,,,,2,,,,,,,,,
29,211608,104,603,1983,Cheyney University of Pennsylvania,2,1,PA,1,0,C1,19,20,Cheyney University of Pennsylvania,Graduate School of Arts & Sciences,G,2,3,0,0,0,,3,,0,,0,,0,2,,,,,,,,,,,,1,,,,,,,,,,,,2,1,0,0,,0,,1,,0,,0,2,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,
30,230959,70,202,1983,Middlebury College,2,2,VT,0,0,LA1,21,21,Middlebury College,,G,2,0,0,0,0,,0,,0,,0,,0,0,,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,0,,0,,0,,0,,0,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,
